CNPJ_FUNDO,nomeAbreviado,retorno_ytd,annualized_return,cumulative_returns,idade,annualized_sharpe,n_cotistas,classe,txa_adm_%aa,patrimonio,retorno_2020,retorno_1_mes,retorno_3_meses,retorno_1_ano,treynor_cdi_1ano,treynor_ibov_1ano,treynor_snp_1ano,retorno_3_anos,treynor_cdi_3ano,treynor_ibov_3ano,treynor_snp_3ano,retorno_5_anos,treynor_cdi_5ano,treynor_ibov_5ano,treynor_snp_5ano,retorno_10_anos,treynor_cdi_10ano,treynor_ibov_10ano,treynor_snp_10ano,fundo_exclusivo,investidorQualificado,max_one_day_return
04.148.140/0001-62,ITAÚ SUPER PREMIUM RF PRS FIC FI,0.0135489945642672,0.0891349007937453,2.9600091,16.0,24.81863688959966,17096.0,Fundo de Renda Fixa,0.75,1484207258.34,0.01863812461975,0.0033874891904881,0.0096521761345391,0.019820973414822,0.0984505126927571,-77.18135003829407,-30.301740952120408,0.1157169359384135,0.20201697048526,-101.64738260231016,-69.84896677631156,0.330752631296844,0.4741077244401993,-347.4777050992146,-142.85548996947182,1.1762518708991003,1.9645585666544647,-1857.313091955095,-712.3462704110108,False,False,0.0020218009792698
04.163.555/0001-05,GERAL ASSET LONG TERM FIA,0.0413357565272389,0.0956491624577675,2.001446095460389,12.0,0.5334692588781003,160.0,Fundo de Ações,0.0,20447500.71,-0.0002123401113103,-0.0176640152480396,0.0494973617540066,0.2584993024114497,-0.0269458931221992,0.2684099535010169,0.7990283927018447,0.5867381447604365,0.1423938234671159,0.6131069813707322,1.0764342312563415,0.8912486490061486,-1.881104421918293,0.961185933996204,1.9115144793016248,1.2519113774502713,3.5929029135851023,1.6644831901953054,3.5044474151800724,False,False,0.1197570351845285
04.192.419/0001-43,WESTERN ASSET RF ATIVO MAX FI,-0.0412530988434501,0.1136150537147112,5.166685825290647,0.0,1.476577080302858,3918.0,Fundo de Renda Fixa,0.8,359341211.06,0.089352833600528,0.0031162116804477,-0.0018719987903725,-0.0210800802643759,-0.0248791411795649,-0.1914860050376042,-1.1277233578955552,0.2431309769459402,0.0869842459763236,1.7742519842634543,3.614061731289506,0.5112277147728423,0.5315008709458782,4.300131880885574,9.328176674230034,1.8862673321476129,2.1763006911676537,22.56346321253139,57.03342305960039,False,False,0.0386882589038819
04.195.359/0001-12,EXECUTIVE TOP FIA,0.0357469481151495,0.1016011498442389,0.9889175845962694,8.0,0.4877502808033369,150.0,Fundo de Ações,3.0,11227237.81,-0.2561375234516826,-0.0363247627183748,-0.0292070347110467,0.0303140534797117,-0.0059526378372107,0.0485373997370672,0.1948980345632711,0.1852793452905599,0.0308922880334981,0.2110453350802054,0.3691741187296609,1.0285854856256118,0.3156720807930066,1.3226914108742398,2.4608328818850578,,,,,False,False,0.1579691075113922
04.220.338/0001-00,ITAÚ ESPECIAL RF REF DI FIC FI,0.0114403336378201,0.0912834640644847,3.3839540332610705,20.0,19.669801156936053,5154.0,Fundo de Renda Fixa,1.0,1034741723.71,0.0162895395598139,0.0033784651110171,0.0085973762307201,0.0156814044823268,0.0461859001516907,-232.02768874094417,-50.549311162566845,0.1033548437133813,0.1858770897543642,-1680.6737956295087,-681.1989752881345,0.3062705391234051,0.4363393481894979,-4677.947440590328,-908.6044997271376,1.087369219833572,1.821280726893878,-9835.34553487985,-3945.4276426352985,False,False,0.0159039250019576
04.222.368/0001-55,VERDE PVT MULTIMERCADO FIC FI,0.0312395071946576,0.1563020759510544,10.22537532147109,20.0,1.9048354294887968,233.0,Fundo Multimercado,0.0,312443480.81,0.034439256734569,-0.0059959867399135,-0.0041296708408848,0.08842863557676,-0.0311447615553231,0.3799911625271932,0.7265056427891272,0.2608629050700033,0.1321723685741024,0.8831240966055932,1.14871594569027,0.4887967331381562,0.6675462802048823,1.9535243824187507,2.660378242812115,2.3196797493278742,3.8067268907195775,16.80708075008071,18.29794220529237,False,False,0.0514497665020892
04.222.376/0001-00,ITAÚ ESPECIAL RF CURTO PRAZO FIC FI,0.0091251753002818,0.089436205991489,3.26045468386771,20.0,19.905714869539462,142.0,Fundo de Renda Fixa,1.0,60043891.63,0.0170805517740635,0.0025268846315584,0.0060139273797976,0.0130735081998289,0.0549086291621302,-317.81267516500424,-360.2309789403394,0.1012764234348355,0.1810557295824603,-2218.644468555944,-835.0349621031984,0.3014513621052122,0.4321721478783509,-6148.075109395621,-934.029279670258,1.060896122392938,1.803417876268306,-11473.240459459908,-3780.5072603151816,False,False,0.0156401001006101
04.222.433/0001-42,ITAÚ ESPECIAL RF FIC FI,0.0105903514675664,0.0920917185963796,3.438952122881197,20.0,17.636937203353384,1480.0,Fundo de Renda Fixa,1.0,394544866.26,0.0164367901317457,0.0029667827665458,0.0076139261634466,0.0149319636746965,0.055932096947242,-809.3423296830313,-197.69908239149203,0.1038332879424304,0.1799410967728802,-519.402641062449,-290.8322240466252,0.3086568798045515,0.4366791247629718,-1472.34140308822,-377.4663112620566,1.111170745503868,1.8419123976691565,-6372.226892957923,-1598.1260205471467,False,False,0.0163019851338828
04.237.569/0001-26,BRADESCO FIC FI RF REF DI SAFIRA,0.0074630757648799,0.0676880294009342,2.02784826648956,20.0,17.054895213795373,6695.0,Fundo de Renda Fixa,1.5,70973560.18,0.0063441489767372,0.0025338726391905,0.0054771091925964,0.0081163796719032,0.0460400143077394,-47.907116198607184,-20.15739200067496,0.0631111594865811,0.1590589811943977,6140.755810620622,-394.923708466914,0.1999127681797259,0.3568766883417413,-27994.002130545767,-644.5167862132131,0.697179968115458,1.4033247731091465,-171388.98130239896,-3167.691294706112,False,False,0.0134877110334332
04.237.578/0001-17,BRADESCO FIC FI RF SIMPLES BRILHANTE,0.0067402351568734,0.0761277059139704,2.4566411824827976,20.0,17.800280766865093,68576.0,Fundo de Renda Fixa,1.5,2624134765.52,0.0060243977111369,0.0024191280680545,0.0054853241382761,0.0066474980987769,0.0309472606694841,15.004562978632071,-116.5066571936716,0.0624968582713512,0.145623161886396,-11324.188494633569,-379.1451257598802,0.2189776365468787,0.3395729999916148,-21932.3778510287,-644.1182452373591,0.8126882426889028,1.438709609116799,-32845.9954154922,-3317.1061515087176,False,False,0.0144344639025366
