CNPJ_FUNDO,nomeAbreviado,kpi,annualized_return,retorno_1_ano,annualized_sharpe,classe,txa_adm_%aa,patrimonio,idade,retorno_3_anos,retorno_5_anos,retorno_10_anos
19.488.866/0001-11,JGP CORPORATE PLUS FUNDO INVESTIMENTO EM COTAS DE FIM CP,7.18,0.0641162383079295,0.0872474230179984,5.664159132610033,Fundo Multimercado,0.75,294629583.1,5.0,0.1550152168269249,0.4353801529457699,0.0
00.840.008/0001-66,ITAÚ MULTIMERCADO MULTIMANAGER FIC FI,7.17,0.101704572647084,0.0410664300288883,3.4074181916039485,Fundo Multimercado,1.85,83140301.55,25.0,0.2005953461176715,0.4539499699010163,1.5843333738300291
10.447.046/0001-07,GARIN SPECIAL FIM,7.17,0.0992512732143987,-0.0047938179866701,3.195959067447568,Fundo Multimercado,1.5,145498903.44,12.0,0.2068721038029657,0.5569687681107762,1.4377332403293752
19.009.392/0001-88,CSHG ALLOCATION SPX RAPTOR CSHG FIC FIM CP INV EXT,7.17,0.1540709011244454,0.2362707443683165,1.4570548599730928,Fundo Multimercado,0.0,1392953893.97,7.0,0.3112047651814027,1.1981626588925791,0.0
17.899.612/0001-60,SF2 TROPICO CASH FIM,7.17,0.0839235228508625,0.0285701501029409,29.3950613438922,Fundo Multimercado,0.8,485586836.6,6.0,0.1525652558558792,0.4028405416243799,0.0
03.565.811/0001-28,H3 COMPOSITE FIC FIM,7.16,0.1080257699503666,0.0392593110908505,3.16929039972874,Fundo Multimercado,1.05,345408652.48,21.0,0.1729912742654522,0.4579839978646758,1.5375718105226626
08.627.607/0001-08,B3 MARGEM GARANTIA REF DI FIC FI,7.16,0.0839723899342982,0.0157870766069974,38.18222548385992,Fundo de Renda Fixa,0.3,110996996.91,14.0,0.1142769049710614,0.3287362639460134,1.1555009691632685
05.100.213/0001-09,BB AÇÕES EXPORTAÇÃO FIC FI,7.15,0.1254710114688332,0.5357187127230907,0.5171472863846148,FIC FI,2.0,382280837.63,2.0,0.7685955790041075,1.9300017201315067,1.9495076616403897
09.550.197/0001-07,4UM SMALL CAPS FIA,7.14,0.1605802497530375,0.1154078650269139,0.7562345123411183,Fundo de Ações,2.0,408592012.28,13.0,0.9559562073340484,1.750505389831866,2.306557638882102
12.518.192/0001-01,SANTANDER SOVEREIGN RF REF DI CLASSE A FIC FI,7.14,0.0803735573971132,0.0195352254584946,33.80686050049809,Fundo de Renda Fixa,0.25,114385816.86,10.0,0.1237477588289843,0.3464418739299455,0.0
18.060.364/0001-22,BB RF LP CORPORATE BANCOS FIC FI,7.13,0.0758160413101735,0.0220770807777608,31.42773966296905,Fundo de Renda Fixa,0.2,1981884629.35,8.0,0.1294897006783526,0.3614928218307609,0.0
07.470.234/0001-41,SAFRA VALE DO RIO DOCE FIC FIA,7.13,0.1757189507397561,1.0710079783138298,0.4865654791147792,Fundo de Ações,1.5,114116021.88,15.0,1.423382233951166,5.819174519610997,1.6235000036646183
10.565.542/0001-65,SANTANDER CASH GREEN FI RF REF DI,7.13,0.0826474687616959,0.0195900007394806,39.72123538696881,Fundo de Renda Fixa,0.4,496495137.18,11.0,0.1213152709271694,0.3403348639059067,1.198539933576896
19.366.052/0001-04,SHARP LS 2X FEEDER FIC FIM,7.13,0.1204576721350811,0.0519767603239091,3.212334396932617,Fundo Multimercado,1.95,1420372154.62,6.0,0.4101575493530351,0.7805527976538782,0.0
00.346.750/0001-10,NECTON FIM,7.13,0.0921957457890711,0.0436110304944816,6.064777810260009,Fundo Multimercado,0.5,16854618.26,25.0,0.0991383694145924,0.3159783872601127,1.1696553944663726
18.772.290/0001-57,SOLANA LONG AND SHORT FIC FIM,7.12,0.0976057986071473,0.0765288416570915,3.2943214062975392,Fundo Multimercado,1.85,534465073.14,7.0,0.2653705827135892,0.5750620027735871,0.0
09.636.393/0001-07,BNP PARIBAS MATCH DI FI RF REF CP,7.11,0.0884552159029218,0.0206612601607907,33.58572510637964,Fundo de Renda Fixa,0.35,536658655.62,13.0,0.1171863750821613,0.3474111880813146,1.2682796130970848
17.253.869/0001-40,SAFRA CARTEIRA PREMIUM FIM,7.11,0.0811572042353726,0.0195625911419252,6.359211119233464,Fundo Multimercado,0.5,599312136.05,8.0,0.1444978523695681,0.374969331265478,0.0
09.412.822/0001-54,SQUADRA LONG-ONLY FIC FUNDOS EM INVESTIMENTO DE AÇÕES,7.11,0.217757896373125,0.2225794496501383,0.8576220170481232,Fundo de Ações,2.8,332060727.94,13.0,1.0250495286576022,1.6214757011056156,3.127567960745049
17.138.466/0001-50,SANTANDER FI ANS II RF CP,7.1,0.0752765862150816,0.0391001494240073,23.357850737079747,Fundo de Renda Fixa,0.0,703180509.04,8.0,0.1387279950714197,0.3729789201144249,0.0
20.468.028/0001-65,REACH FIA,7.1,0.1713881294186063,0.2459779617033879,0.8663913859429389,Fundo de Ações,1.66,123391607.56,7.0,0.780215301801791,1.7928406624328843,0.0
